model,condition,language,n_parameters,e2e_median,e2e_p95,e2e_iqr,prefill_median,decode_median,input_tokens_median,output_tokens_median,tok_per_s_median,peak_vram_bytes,peak_rss_bytes
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,identity,,0.45099,0.5838903499999999,0.12406150000000005,0.027612499999999998,0.4232085,715.0,19.5,46.10975,,
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,alpha,,0.487704,0.50500875,0.06350350000000005,0.027444000000000003,0.45988850000000003,719.0,21.0,45.7381,,
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,beta,,0.5681134999999999,0.6178307000000001,0.062326249999999916,0.032116,0.535946,788.0,24.5,45.66645,,
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,gamma,,0.5162515,0.61744935,0.05892474999999997,0.032739000000000004,0.48261,807.0,22.0,45.36925,,
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,identity,,0.5901015000000001,6.809623399999996,0.10665400000000003,0.04123400000000001,0.550362,1170.0,25.0,45.4247,,
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,alpha,,0.60565,9.696115999999996,5.25702725,0.044103,0.5619535,1174.0,25.5,45.330650000000006,,
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,beta,,11.710041,11.7455546,0.9550609999999988,0.048955,11.660970500000001,1243.0,512.0,43.90715,,
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,gamma,,0.6493325,7.883227549999994,0.09223949999999992,0.043081,0.60606,1281.0,27.5,45.288,,
