model,condition,n,semantic_accuracy,wilson_lo,wilson_hi,parse_validity,language_compliance,op-selection,selector-resolution,arg-extraction,multi-op
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,21,0.0,0.0,0.154639018924847,0.9523809523809523,1.0,0.047619047619047616,0.09523809523809523,0.6190476190476191,0.047619047619047616
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,21,0.0,0.0,0.154639018924847,0.5238095238095238,1.0,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.047619047619047616
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,21,0.19047619047619047,0.07667565052761793,0.40000564690204926,0.6666666666666666,1.0,0.38095238095238093,0.38095238095238093,0.5714285714285714,0.3333333333333333
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,21,0.38095238095238093,0.20751011368564493,0.5912134622488425,0.9523809523809523,1.0,0.5714285714285714,0.6666666666666666,0.8571428571428571,0.5238095238095238
Qwen/Qwen2.5-Coder-3B-Instruct,bare,21,0.38095238095238093,0.20751011368564493,0.5912134622488425,0.8095238095238095,1.0,0.6666666666666666,0.47619047619047616,0.7619047619047619,0.6666666666666666
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,21,0.6190476190476191,0.4087865377511576,0.7924898863143551,0.8571428571428571,1.0,0.7142857142857143,0.7619047619047619,0.8095238095238095,0.7142857142857143
Qwen/Qwen2.5-Coder-7B-Instruct,bare,21,0.3333333333333333,0.17194752605083477,0.5462654802574476,0.42857142857142855,1.0,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.42857142857142855
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,21,0.38095238095238093,0.20751011368564493,0.5912134622488425,0.38095238095238093,1.0,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093
