lane,model,language,condition,n,arg_extraction,decode_seconds_median,delta_nll_per_char,delta_nll_per_char_hi,delta_nll_per_char_lo,delta_nll_per_token,device,e2e_seconds_median,e2e_seconds_p95,fertility_tok_per_char,input_tokens_median,language_compliance,mcnemar_p,model_tokens_per_program,multi_op,n_parameters,nll_per_char,nll_per_token,nll_per_utf8_byte,nll_seconds_total,op_selection,output_tok_per_s_median,output_tokens_median,parse_validity,peak_rss_bytes,peak_vram_allocated_bytes,precision,prefill_seconds_median,rd_ci95_hi,rd_ci95_lo,risk_difference_vs_identity,selector_resolution,semantic_accuracy,semantic_correct_k,semantic_wilson_hi,semantic_wilson_lo,token_perplexity,vacuous_rate
A,Qwen/Qwen2.5-Coder-0.5B,gamma,nll,62,,,2.818855602682216,2.991948833495771,2.6292983291301946,2.3384795382698336,cuda,,,0.6802278275020341,,,,26.967741935483872,,494032768,4.150292673568788,6.336285336417441,3.0343305745485067,1.470446,,,,,,,fp32,,,,,,,,,,564.6947594607324,
A,Qwen/Qwen2.5-Coder-1.5B,gamma,nll,62,,,3.1218423129382,3.3056198856774826,2.9225257661541413,2.88835463171749,cuda,,,0.6802278275020341,,,,26.967741935483872,,1543714304,4.394127778254261,6.708550359595637,3.212601451204335,1.792212,,,,,,,fp32,,,,,,,,,,819.3819688776531,
A,Qwen/Qwen2.5-Coder-3B,gamma,nll,62,,,2.6647054427877555,2.83214885600275,2.484928478597783,2.2247019145851543,cuda,,,0.6802278275020341,,,,26.967741935483872,,3085938688,3.9137769719272053,5.9751949049671245,2.8614110044607584,2.745904,,,,,,,fp32,,,,,,,,,,393.5447974524117,
A,Qwen/Qwen2.5-Coder-7B [cpu],gamma,nll,62,,,2.7822458923256077,2.9681722160290525,2.585179579995824,2.3769794958633312,cpu,,,0.6802278275020341,,,,26.967741935483872,,7615616512,4.049727927969179,6.182752327297045,2.960806438711553,69.240948,,,,,,,fp32,,,,,,,,,,484.3231393838625,
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,gamma,bare,9,0.2222222222222222,0.484942,,,,,cuda,0.519712,0.7541963999999999,,807.0,1.0,1.0,,0.1111111111111111,,,,,,0.1111111111111111,45.3662,22.0,1.0,,,fp16,0.032837,0.0,-0.3333333333333333,-0.1111111111111111,0.1111111111111111,0.0,0,0.2991450484195441,0.0,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,gamma,scaffolded,9,0.2222222222222222,0.572886,,,,,cuda,0.615709,7.330439199999995,,1281.0,1.0,1.0,,0.1111111111111111,,,,,,0.1111111111111111,45.2092,26.0,0.7777777777777778,,,fp16,0.043024,0.0,0.0,0.0,0.1111111111111111,0.0,0,0.2991450484195441,0.0,,0.0
