lane,model,language,condition,n,arg_extraction,decode_seconds_median,delta_nll_per_char,delta_nll_per_char_hi,delta_nll_per_char_lo,delta_nll_per_token,device,e2e_seconds_median,e2e_seconds_p95,fertility_tok_per_char,input_tokens_median,language_compliance,mcnemar_p,model_tokens_per_program,multi_op,n_parameters,nll_per_char,nll_per_token,nll_per_utf8_byte,nll_seconds_total,op_selection,output_tok_per_s_median,output_tokens_median,parse_validity,peak_rss_bytes,peak_vram_allocated_bytes,precision,prefill_seconds_median,rd_ci95_hi,rd_ci95_lo,risk_difference_vs_identity,selector_resolution,semantic_accuracy,semantic_correct_k,semantic_wilson_hi,semantic_wilson_lo,token_perplexity,vacuous_rate
A,Qwen/Qwen2.5-Coder-0.5B,alpha,nll,62,,,0.5524632473671325,0.6005431656146689,0.5059033108039876,1.2856138913909776,cuda,,,0.37503723562704794,,,,20.306451612903224,,494032768,1.8839003182537044,5.283419689538585,1.8839003182537044,1.452387,,,,,,,fp32,,,,,,,,,,197.04254887199633,
A,Qwen/Qwen2.5-Coder-1.5B,alpha,nll,62,,,0.6311164620467211,0.6777997609277535,0.5867027937458502,1.5179164443498068,cuda,,,0.37503723562704794,,,,20.306451612903224,,1543714304,1.9034019273627822,5.338112172227953,1.9034019273627822,1.778288,,,,,,,fp32,,,,,,,,,,208.11944552865225,
A,Qwen/Qwen2.5-Coder-3B,alpha,nll,62,,,0.6530052255740206,0.6990616547960777,0.6088532803763105,1.5839027202054319,cuda,,,0.37503723562704794,,,,20.306451612903224,,3085938688,1.9020767547134705,5.334395710587402,1.9020767547134705,2.525542,,,,,,,fp32,,,,,,,,,,207.34741309576796,
A,Qwen/Qwen2.5-Coder-7B [cpu],alpha,nll,62,,,0.5870798124102348,0.6354920085074129,0.5409177523868944,1.3953667875442521,cpu,,,0.37503723562704794,,,,20.306451612903224,,7615616512,1.8545618480538058,5.201139618977966,1.8545618480538058,57.055549,,,,,,,fp32,,,,,,,,,,181.4789409188765,
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,alpha,bare,9,0.3333333333333333,0.460573,,,,,cuda,0.487711,0.7021605999999998,,719.0,1.0,1.0,,0.1111111111111111,,,,,,0.1111111111111111,45.7313,21.0,0.8888888888888888,,,fp16,0.027453,0.0,-0.3333333333333333,-0.1111111111111111,0.2222222222222222,0.0,0,0.2991450484195441,0.0,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,alpha,scaffolded,9,0.0,0.571131,,,,,cuda,0.614539,9.696416799999998,,1174.0,1.0,1.0,,0.0,,,,,,0.0,45.2263,26.0,0.0,,,fp16,0.044118,0.0,0.0,0.0,0.0,0.0,0,0.2991450484195441,0.0,,0.0
