lane,model,language,condition,n,arg_extraction,decode_seconds_median,delta_nll_per_char,delta_nll_per_char_hi,delta_nll_per_char_lo,delta_nll_per_token,device,e2e_seconds_median,e2e_seconds_p95,fertility_tok_per_char,input_tokens_median,language_compliance,mcnemar_p,model_tokens_per_program,multi_op,n_parameters,nll_per_char,nll_per_token,nll_per_utf8_byte,nll_seconds_total,op_selection,output_tok_per_s_median,output_tokens_median,parse_validity,peak_rss_bytes,peak_vram_allocated_bytes,precision,prefill_seconds_median,rd_ci95_hi,rd_ci95_lo,risk_difference_vs_identity,selector_resolution,semantic_accuracy,semantic_correct_k,semantic_wilson_hi,semantic_wilson_lo,token_perplexity,vacuous_rate
A,Qwen/Qwen2.5-Coder-0.5B,identity,nll,62,,,,,,,cuda,,,0.3511072261072261,,,,19.43548387096774,,494032768,1.331437070886572,3.997805798147607,1.331437070886572,1.489762,,,,,,,fp32,,,,,,,,,,54.4784820071185,
A,Qwen/Qwen2.5-Coder-1.5B,identity,nll,62,,,,,,,cuda,,,0.3511072261072261,,,,19.43548387096774,,1543714304,1.2722854653160611,3.8201957278781467,1.2722854653160611,1.786254,,,,,,,fp32,,,,,,,,,,45.61313520936991,
A,Qwen/Qwen2.5-Coder-3B,identity,nll,62,,,,,,,cuda,,,0.3511072261072261,,,,19.43548387096774,,3085938688,1.2490715291394499,3.75049299038197,1.2490715291394499,2.509173,,,,,,,fp32,,,,,,,,,,42.54204965252061,
A,Qwen/Qwen2.5-Coder-7B [cpu],identity,nll,62,,,,,,,cpu,,,0.3511072261072261,,,,19.43548387096774,,7615616512,1.267482035643571,3.805772831433714,1.267482035643571,54.254469,,,,,,,fp32,,,,,,,,,,44.95998317814174,
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,identity,bare,9,0.5555555555555556,0.433609,,,,,cuda,0.461574,0.7364257999999999,,715.0,1.0,,,0.6666666666666666,,,,,,0.7777777777777778,46.095,20.0,1.0,,,fp16,0.027627,,,,0.3333333333333333,0.1111111111111111,1,0.434999705576656,0.019890887638544907,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,identity,scaffolded,9,0.4444444444444444,0.550985,,,,,cuda,0.590449,9.132299,,1170.0,1.0,,,0.3333333333333333,,,,,,0.4444444444444444,45.3733,25.0,1.0,,,fp16,0.041397,,,,0.1111111111111111,0.0,0,0.2991450484195441,0.0,,0.0
