model,condition,n,semantic_accuracy,wilson_lo,wilson_hi,parse_validity,language_compliance,op-selection,selector-resolution,arg-extraction,multi-op
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,0.9523809523809523,1.0,0.6666666666666666,0.09523809523809523,0.7142857142857143,0.5714285714285714
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,21,0.0,0.0,0.154639018924847,0.0,1.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,21,0.19047619047619047,0.07667565052761793,0.40000564690204926,0.9047619047619048,1.0,0.42857142857142855,0.38095238095238093,0.6666666666666666,0.42857142857142855
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,21,0.2857142857142857,0.1381386295212213,0.49956380716085597,0.9523809523809523,1.0,0.5238095238095238,0.6666666666666666,0.8095238095238095,0.5238095238095238
Qwen/Qwen2.5-Coder-3B-Instruct,bare,21,0.6666666666666666,0.4537345197425524,0.8280524739491653,1.0,1.0,0.9523809523809523,0.6666666666666666,1.0,0.9523809523809523
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,21,0.8571428571428571,0.6536393971937906,0.9501898750027473,0.9523809523809523,1.0,0.9047619047619048,0.9047619047619048,0.9523809523809523,0.9047619047619048
Qwen/Qwen2.5-Coder-7B-Instruct,bare,21,0.19047619047619047,0.07667565052761793,0.40000564690204926,1.0,1.0,0.8095238095238095,0.38095238095238093,0.9047619047619048,0.8095238095238095
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,21,0.5238095238095238,0.3236953458284443,0.7165599389846583,0.6666666666666666,1.0,0.5238095238095238,0.6666666666666666,0.6190476190476191,0.5238095238095238
