lexicon,qwen_tokens_per_program,deepseek_tokens_per_program,qwen_fragmented_percent,deepseek_fragmented_percent
identity,19.435483870968,18.500000000000,0.000000000000,0.000000000000
alpha,20.306451612903,19.419354838710,0.000000000000,0.000000000000
beta,27.225806451613,26.790322580645,0.000000000000,0.000000000000
gamma,26.967741935484,30.274193548387,36.363636363636,55.034629728290
