lane,model,language,condition,n,arg_extraction,decode_seconds_median,delta_nll_per_char,delta_nll_per_char_hi,delta_nll_per_char_lo,delta_nll_per_token,device,e2e_seconds_median,e2e_seconds_p95,fertility_tok_per_char,input_tokens_median,language_compliance,mcnemar_p,model_tokens_per_program,multi_op,n_parameters,nll_per_char,nll_per_token,nll_per_utf8_byte,nll_seconds_total,op_selection,output_tok_per_s_median,output_tokens_median,parse_validity,peak_rss_bytes,peak_vram_allocated_bytes,precision,prefill_seconds_median,rd_ci95_hi,rd_ci95_lo,risk_difference_vs_identity,selector_resolution,semantic_accuracy,semantic_correct_k,semantic_wilson_hi,semantic_wilson_lo,token_perplexity,vacuous_rate
A,Qwen/Qwen2.5-Coder-3B,identity,nll,62,,,,,,,cuda,,,0.3511072261072261,,,,19.43548387096774,,3085938688,1.2490715291394499,3.75049299038197,1.2490715291394499,2.509173,,,,,,,fp32,,,,,,,,,,42.54204965252061,
A,Qwen/Qwen2.5-Coder-3B,alpha,nll,62,,,0.6530052255740206,0.6990616547960777,0.6088532803763105,1.5839027202054319,cuda,,,0.37503723562704794,,,,20.306451612903224,,3085938688,1.9020767547134705,5.334395710587402,1.9020767547134705,2.525542,,,,,,,fp32,,,,,,,,,,207.34741309576796,
A,Qwen/Qwen2.5-Coder-3B,beta,nll,62,,,1.6630503014251068,1.7471719603126579,1.570141600705024,2.3961257811417433,cuda,,,0.49184149184149184,,,,27.225806451612904,,3085938688,2.9121218305645566,6.1466187715237135,2.9121218305645566,2.753835,,,,,,,fp32,,,,,,,,,,467.1352225436546,
A,Qwen/Qwen2.5-Coder-3B,gamma,nll,62,,,2.6647054427877555,2.83214885600275,2.484928478597783,2.2247019145851543,cuda,,,0.6802278275020341,,,,26.967741935483872,,3085938688,3.9137769719272053,5.9751949049671245,2.8614110044607584,2.745904,,,,,,,fp32,,,,,,,,,,393.5447974524117,
