lane,model,language,condition,n,arg_extraction,decode_seconds_median,delta_nll_per_char,delta_nll_per_char_hi,delta_nll_per_char_lo,delta_nll_per_token,device,e2e_seconds_median,e2e_seconds_p95,fertility_tok_per_char,input_tokens_median,language_compliance,mcnemar_p,model_tokens_per_program,multi_op,n_parameters,nll_per_char,nll_per_token,nll_per_utf8_byte,nll_seconds_total,op_selection,output_tok_per_s_median,output_tokens_median,parse_validity,peak_rss_bytes,peak_vram_allocated_bytes,precision,prefill_seconds_median,rd_ci95_hi,rd_ci95_lo,risk_difference_vs_identity,selector_resolution,semantic_accuracy,semantic_correct_k,semantic_wilson_hi,semantic_wilson_lo,token_perplexity,vacuous_rate
A,Qwen/Qwen2.5-Coder-7B [cpu],identity,nll,62,,,,,,,cpu,,,0.3511072261072261,,,,19.43548387096774,,7615616512,1.267482035643571,3.805772831433714,1.267482035643571,54.254469,,,,,,,fp32,,,,,,,,,,44.95998317814174,
A,Qwen/Qwen2.5-Coder-7B [cpu],alpha,nll,62,,,0.5870798124102348,0.6354920085074129,0.5409177523868944,1.3953667875442521,cpu,,,0.37503723562704794,,,,20.306451612903224,,7615616512,1.8545618480538058,5.201139618977966,1.8545618480538058,57.055549,,,,,,,fp32,,,,,,,,,,181.4789409188765,
A,Qwen/Qwen2.5-Coder-7B [cpu],beta,nll,62,,,1.5910279239530052,1.6659364431086867,1.5093652223568257,2.2276873046889483,cpu,,,0.49184149184149184,,,,27.225806451612904,,7615616512,2.858509959596576,6.033460136122662,2.858509959596576,68.820242,,,,,,,fp32,,,,,,,,,,417.1559514274693,
A,Qwen/Qwen2.5-Coder-7B [cpu],gamma,nll,62,,,2.7822458923256077,2.9681722160290525,2.585179579995824,2.3769794958633312,cpu,,,0.6802278275020341,,,,26.967741935483872,,7615616512,4.049727927969179,6.182752327297045,2.960806438711553,69.240948,,,,,,,fp32,,,,,,,,,,484.3231393838625,
