lane,model,language,condition,n,arg_extraction,decode_seconds_median,delta_nll_per_char,delta_nll_per_char_hi,delta_nll_per_char_lo,delta_nll_per_token,device,e2e_seconds_median,e2e_seconds_p95,fertility_tok_per_char,input_tokens_median,language_compliance,mcnemar_p,model_tokens_per_program,multi_op,n_parameters,nll_per_char,nll_per_token,nll_per_utf8_byte,nll_seconds_total,op_selection,output_tok_per_s_median,output_tokens_median,parse_validity,peak_rss_bytes,peak_vram_allocated_bytes,precision,prefill_seconds_median,rd_ci95_hi,rd_ci95_lo,risk_difference_vs_identity,selector_resolution,semantic_accuracy,semantic_correct_k,semantic_wilson_hi,semantic_wilson_lo,token_perplexity,vacuous_rate
B,Qwen/Qwen2.5-Coder-3B-Instruct,identity,bare,21,0.9523809523809523,0.753297,,,,,cuda,0.911591,1.646094,,716.0,1.0,,,0.9047619047619048,3085938688,,,,,0.9047619047619048,29.2881,22.0,0.9523809523809523,13187829760,6452672512,fp16,0.158612,,,,0.6190476190476191,0.5714285714285714,12,0.7553003107462404,0.3654655436930671,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,alpha,bare,21,0.47619047619047616,0.761836,,,,,cuda,0.921061,1.584125,,720.0,1.0,0.0078125,,0.3333333333333333,3085938688,,,,,0.3333333333333333,29.2786,22.0,0.6190476190476191,13187829760,6452672512,fp16,0.156499,-0.19047619047619047,-0.5714285714285714,-0.38095238095238093,0.42857142857142855,0.19047619047619047,4,0.40000564690204926,0.07667565052761793,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,beta,bare,21,1.0,1.005047,,,,,cuda,1.178324,1.808753,,789.0,1.0,0.625,,0.9523809523809523,3085938688,,,,,0.9523809523809523,28.8184,28.0,1.0,13187829760,6452672512,fp16,0.170922,0.2857142857142857,-0.09523809523809523,0.09523809523809523,0.6666666666666666,0.6666666666666666,14,0.8280524739491653,0.4537345197425524,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,gamma,bare,21,0.7619047619047619,0.961037,,,,,cuda,1.141937,2.271421,,808.0,1.0,0.125,,0.6666666666666666,3085938688,,,,,0.6666666666666666,29.1352,28.0,0.8095238095238095,13187829760,6452672512,fp16,0.182575,-0.047619047619047616,-0.38095238095238093,-0.19047619047619047,0.47619047619047616,0.38095238095238093,8,0.5912134622488425,0.20751011368564493,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,identity,scaffolded,21,1.0,0.737213,,,,,cuda,0.997023,1.817443,,1171.0,1.0,,,0.9523809523809523,3085938688,,,,,0.9523809523809523,29.6731,22.0,1.0,13187829760,6452672512,fp16,0.259948,,,,0.8571428571428571,0.8095238095238095,17,0.9233243494723822,0.5999943530979508,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,alpha,scaffolded,21,0.8095238095238095,0.80047,,,,,cuda,1.05835,1.76099,,1175.0,1.0,0.0078125,,0.5714285714285714,3085938688,,,,,0.6190476190476191,29.6748,23.0,0.9523809523809523,13187829760,6452672512,fp16,0.258908,-0.19047619047619047,-0.5714285714285714,-0.38095238095238093,0.7142857142857143,0.42857142857142855,9,0.6345344563069328,0.2446996892537596,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,beta,scaffolded,21,0.9523809523809523,0.998602,,,,,cuda,1.263094,2.129002,,1244.0,1.0,1.0,,0.9047619047619048,3085938688,,,,,0.9047619047619048,29.2513,28.0,0.9523809523809523,13187829760,6452672512,fp16,0.262817,0.14285714285714285,0.0,0.047619047619047616,0.9047619047619048,0.8571428571428571,18,0.9501898750027473,0.6536393971937906,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,gamma,scaffolded,21,0.8095238095238095,0.949567,,,,,cuda,1.233764,2.335136,,1282.0,1.0,0.21875,,0.7142857142857143,3085938688,,,,,0.7142857142857143,29.3334,29.0,0.8571428571428571,13187829760,6452672512,fp16,0.2764,0.0,-0.42857142857142855,-0.19047619047619047,0.7619047619047619,0.6190476190476191,13,0.7924898863143551,0.4087865377511576,,0.0
