lane,model,language,condition,n,arg_extraction,decode_seconds_median,delta_nll_per_char,delta_nll_per_char_hi,delta_nll_per_char_lo,delta_nll_per_token,device,e2e_seconds_median,e2e_seconds_p95,fertility_tok_per_char,input_tokens_median,language_compliance,mcnemar_p,model_tokens_per_program,multi_op,n_parameters,nll_per_char,nll_per_token,nll_per_utf8_byte,nll_seconds_total,op_selection,output_tok_per_s_median,output_tokens_median,parse_validity,peak_rss_bytes,peak_vram_allocated_bytes,precision,prefill_seconds_median,rd_ci95_hi,rd_ci95_lo,risk_difference_vs_identity,selector_resolution,semantic_accuracy,semantic_correct_k,semantic_wilson_hi,semantic_wilson_lo,token_perplexity,vacuous_rate
B,Qwen/Qwen2.5-Coder-1.5B-Instruct,identity,bare,21,0.8571428571428571,0.628745,,,,,cuda,0.713084,1.190519,,716.0,1.0,,,0.8095238095238095,1543714304,,,,,0.8095238095238095,38.1713,24.0,0.8571428571428571,7017725952,3219994112,fp16,0.081529,,,,0.47619047619047616,0.42857142857142855,9,0.6345344563069328,0.2446996892537596,,0.0
B,Qwen/Qwen2.5-Coder-1.5B-Instruct,alpha,bare,21,0.5238095238095238,0.583485,,,,,cuda,0.664421,1.0625,,720.0,1.0,0.03125,,0.38095238095238093,1543714304,,,,,0.47619047619047616,39.0319,24.0,0.7142857142857143,7017725952,3219994112,fp16,0.082152,-0.09523809523809523,-0.47619047619047616,-0.2857142857142857,0.38095238095238093,0.14285714285714285,3,0.34636060280620945,0.04981012499725268,,0.0
B,Qwen/Qwen2.5-Coder-1.5B-Instruct,beta,bare,21,0.6666666666666666,0.774174,,,,,cuda,0.863923,1.529243,,789.0,1.0,0.0625,,0.42857142857142855,1543714304,,,,,0.42857142857142855,37.5319,29.0,0.9047619047619048,7017725952,3219994112,fp16,0.086148,-0.09523809523809523,-0.42857142857142855,-0.23809523809523808,0.38095238095238093,0.19047619047619047,4,0.40000564690204926,0.07667565052761793,,0.0
B,Qwen/Qwen2.5-Coder-1.5B-Instruct,gamma,bare,21,0.5714285714285714,0.781675,,,,,cuda,0.873641,1.393068,,808.0,1.0,0.0625,,0.3333333333333333,1543714304,,,,,0.38095238095238093,37.3475,30.0,0.6666666666666666,7017725952,3219994112,fp16,0.0947,-0.047619047619047616,-0.42857142857142855,-0.23809523809523808,0.38095238095238093,0.19047619047619047,4,0.40000564690204926,0.07667565052761793,,0.0
B,Qwen/Qwen2.5-Coder-1.5B-Instruct,identity,scaffolded,21,0.9523809523809523,0.621762,,,,,cuda,0.744776,1.217803,,1171.0,1.0,,,0.9523809523809523,1543714304,,,,,0.8571428571428571,46.3378,25.0,1.0,7017725952,3219994112,fp16,0.121349,,,,0.7619047619047619,0.5714285714285714,12,0.7553003107462404,0.3654655436930671,,0.0
B,Qwen/Qwen2.5-Coder-1.5B-Instruct,alpha,scaffolded,21,0.6666666666666666,0.617329,,,,,cuda,0.744961,1.129639,,1175.0,1.0,0.125,,0.5714285714285714,1543714304,,,,,0.5714285714285714,38.0477,23.0,0.8095238095238095,7017725952,3219994112,fp16,0.125094,-0.047619047619047616,-0.38095238095238093,-0.19047619047619047,0.5714285714285714,0.38095238095238093,8,0.5912134622488425,0.20751011368564493,,0.0
B,Qwen/Qwen2.5-Coder-1.5B-Instruct,beta,scaffolded,21,0.8095238095238095,0.772098,,,,,cuda,0.900865,1.640914,,1244.0,1.0,0.03125,,0.5238095238095238,1543714304,,,,,0.5238095238095238,37.6014,29.0,0.9523809523809523,7017725952,3219994112,fp16,0.128512,-0.09523809523809523,-0.47619047619047616,-0.2857142857142857,0.6666666666666666,0.2857142857142857,6,0.49956380716085597,0.1381386295212213,,0.0
B,Qwen/Qwen2.5-Coder-1.5B-Instruct,gamma,scaffolded,21,0.8571428571428571,0.780366,,,,,cuda,0.914671,1.350528,,1282.0,1.0,0.125,,0.5238095238095238,1543714304,,,,,0.5714285714285714,37.9481,29.0,0.9523809523809523,7017725952,3219994112,fp16,0.135512,-0.047619047619047616,-0.38095238095238093,-0.19047619047619047,0.6666666666666666,0.38095238095238093,8,0.5912134622488425,0.20751011368564493,,0.0
