lane,model,language,condition,n,arg_extraction,decode_seconds_median,delta_nll_per_char,delta_nll_per_char_hi,delta_nll_per_char_lo,delta_nll_per_token,device,e2e_seconds_median,e2e_seconds_p95,fertility_tok_per_char,input_tokens_median,language_compliance,mcnemar_p,model_tokens_per_program,multi_op,n_parameters,nll_per_char,nll_per_token,nll_per_utf8_byte,nll_seconds_total,op_selection,output_tok_per_s_median,output_tokens_median,parse_validity,peak_rss_bytes,peak_vram_allocated_bytes,precision,prefill_seconds_median,rd_ci95_hi,rd_ci95_lo,risk_difference_vs_identity,selector_resolution,semantic_accuracy,semantic_correct_k,semantic_wilson_hi,semantic_wilson_lo,token_perplexity,vacuous_rate
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,identity,bare,21,0.7619047619047619,0.455581,,,,,cuda,0.483208,0.822146,,716.0,1.0,,,0.5238095238095238,494032768,,,,,0.6666666666666666,45.8807,21.0,0.9523809523809523,2818985984,1068145664,fp16,0.027627,,,,0.2857142857142857,0.14285714285714285,3,0.34636060280620945,0.04981012499725268,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,alpha,bare,21,0.38095238095238093,0.486828,,,,,cuda,0.518169,1.203517,,720.0,1.0,0.25,,0.09523809523809523,494032768,,,,,0.09523809523809523,45.5657,23.0,0.6190476190476191,2818985984,1068145664,fp16,0.027582,0.0,-0.2857142857142857,-0.14285714285714285,0.19047619047619047,0.0,0,0.154639018924847,0.0,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,beta,bare,21,0.7142857142857143,0.594226,,,,,cuda,0.626279,1.244395,,789.0,1.0,0.5,,0.5714285714285714,494032768,,,,,0.6666666666666666,45.3244,27.0,0.9523809523809523,2818985984,1068145664,fp16,0.03226,0.0,-0.23809523809523808,-0.09523809523809523,0.09523809523809523,0.047619047619047616,1,0.22669360074122563,0.008455987809826399,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,gamma,bare,21,0.6190476190476191,0.510134,,,,,cuda,0.548213,1.215887,,808.0,1.0,0.25,,0.047619047619047616,494032768,,,,,0.047619047619047616,45.2461,24.0,0.9523809523809523,2818985984,1068145664,fp16,0.032641,0.0,-0.2857142857142857,-0.14285714285714285,0.09523809523809523,0.0,0,0.154639018924847,0.0,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,identity,scaffolded,21,0.6666666666666666,0.794612,,,,,cuda,0.834995,10.026731,,1171.0,1.0,,,0.23809523809523808,494032768,,,,,0.2857142857142857,45.2167,35.0,0.9047619047619048,2818985984,1068145664,fp16,0.043349,,,,0.09523809523809523,0.047619047619047616,1,0.22669360074122563,0.008455987809826399,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,alpha,scaffolded,21,0.0,1.790317,,,,,cuda,1.834795,11.609249,,1175.0,1.0,1.0,,0.0,494032768,,,,,0.0,45.102,80.0,0.0,2818985984,1068145664,fp16,0.048625,0.0,-0.14285714285714285,-0.047619047619047616,0.0,0.0,0,0.154639018924847,0.0,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,beta,scaffolded,21,0.0,11.642463,,,,,cuda,11.691407,11.747425,,1244.0,1.0,1.0,,0.0,494032768,,,,,0.0,43.9769,512.0,0.0,2818985984,1068145664,fp16,0.048974,0.0,-0.14285714285714285,-0.047619047619047616,0.0,0.0,0,0.154639018924847,0.0,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,gamma,scaffolded,21,0.2857142857142857,0.652603,,,,,cuda,0.696979,11.742615,,1282.0,1.0,1.0,,0.047619047619047616,494032768,,,,,0.047619047619047616,44.9013,29.0,0.5238095238095238,2818985984,1068145664,fp16,0.043741,0.0,-0.14285714285714285,-0.047619047619047616,0.047619047619047616,0.0,0,0.154639018924847,0.0,,0.0
