lane,model,language,condition,n,arg_extraction,decode_seconds_median,delta_nll_per_char,delta_nll_per_char_hi,delta_nll_per_char_lo,delta_nll_per_token,device,e2e_seconds_median,e2e_seconds_p95,fertility_tok_per_char,input_tokens_median,language_compliance,mcnemar_p,model_tokens_per_program,multi_op,n_parameters,nll_per_char,nll_per_token,nll_per_utf8_byte,nll_seconds_total,op_selection,output_tok_per_s_median,output_tokens_median,parse_validity,peak_rss_bytes,peak_vram_allocated_bytes,precision,prefill_seconds_median,rd_ci95_hi,rd_ci95_lo,risk_difference_vs_identity,selector_resolution,semantic_accuracy,semantic_correct_k,semantic_wilson_hi,semantic_wilson_lo,token_perplexity,vacuous_rate
A,Qwen/Qwen2.5-Coder-1.5B,identity,nll,62,,,,,,,cuda,,,0.3511072261072261,,,,19.43548387096774,,1543714304,1.2722854653160611,3.8201957278781467,1.2722854653160611,1.786254,,,,,,,fp32,,,,,,,,,,45.61313520936991,
A,Qwen/Qwen2.5-Coder-1.5B,alpha,nll,62,,,0.6311164620467211,0.6777997609277535,0.5867027937458502,1.5179164443498068,cuda,,,0.37503723562704794,,,,20.306451612903224,,1543714304,1.9034019273627822,5.338112172227953,1.9034019273627822,1.778288,,,,,,,fp32,,,,,,,,,,208.11944552865225,
A,Qwen/Qwen2.5-Coder-1.5B,beta,nll,62,,,1.7079124945304887,1.790083519818677,1.6158668793353839,2.470111405082099,cuda,,,0.49184149184149184,,,,27.225806451612904,,1543714304,2.98019795984655,6.290307132960246,2.98019795984655,1.794911,,,,,,,fp32,,,,,,,,,,539.318946274578,
A,Qwen/Qwen2.5-Coder-1.5B,gamma,nll,62,,,3.1218423129382,3.3056198856774826,2.9225257661541413,2.88835463171749,cuda,,,0.6802278275020341,,,,26.967741935483872,,1543714304,4.394127778254261,6.708550359595637,3.212601451204335,1.792212,,,,,,,fp32,,,,,,,,,,819.3819688776531,
