lane,model,language,condition,n,arg_extraction,decode_seconds_median,delta_nll_per_char,delta_nll_per_char_hi,delta_nll_per_char_lo,delta_nll_per_token,device,e2e_seconds_median,e2e_seconds_p95,fertility_tok_per_char,input_tokens_median,language_compliance,mcnemar_p,model_tokens_per_program,multi_op,n_parameters,nll_per_char,nll_per_token,nll_per_utf8_byte,nll_seconds_total,op_selection,output_tok_per_s_median,output_tokens_median,parse_validity,peak_rss_bytes,peak_vram_allocated_bytes,precision,prefill_seconds_median,rd_ci95_hi,rd_ci95_lo,risk_difference_vs_identity,selector_resolution,semantic_accuracy,semantic_correct_k,semantic_wilson_hi,semantic_wilson_lo,token_perplexity,vacuous_rate
A,Qwen/Qwen2.5-Coder-0.5B,beta,nll,62,,,1.72351232719866,1.8125684831273838,1.6256247802717105,2.450279278253694,cuda,,,0.49184149184149184,,,,27.225806451612904,,494032768,3.054949398085232,6.448085076401301,3.054949398085232,1.470227,,,,,,,fp32,,,,,,,,,,631.4918755589541,
A,Qwen/Qwen2.5-Coder-1.5B,beta,nll,62,,,1.7079124945304887,1.790083519818677,1.6158668793353839,2.470111405082099,cuda,,,0.49184149184149184,,,,27.225806451612904,,1543714304,2.98019795984655,6.290307132960246,2.98019795984655,1.794911,,,,,,,fp32,,,,,,,,,,539.318946274578,
A,Qwen/Qwen2.5-Coder-3B,beta,nll,62,,,1.6630503014251068,1.7471719603126579,1.570141600705024,2.3961257811417433,cuda,,,0.49184149184149184,,,,27.225806451612904,,3085938688,2.9121218305645566,6.1466187715237135,2.9121218305645566,2.753835,,,,,,,fp32,,,,,,,,,,467.1352225436546,
A,Qwen/Qwen2.5-Coder-7B [cpu],beta,nll,62,,,1.5910279239530052,1.6659364431086867,1.5093652223568257,2.2276873046889483,cpu,,,0.49184149184149184,,,,27.225806451612904,,7615616512,2.858509959596576,6.033460136122662,2.858509959596576,68.820242,,,,,,,fp32,,,,,,,,,,417.1559514274693,
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,beta,bare,9,0.4444444444444444,0.548386,,,,,cuda,0.580495,0.8449243999999999,,788.0,1.0,1.0,,0.6666666666666666,,,,,,0.6666666666666666,45.5883,25.0,1.0,,,fp16,0.032109,0.0,-0.3333333333333333,-0.1111111111111111,0.1111111111111111,0.0,0,0.2991450484195441,0.0,,0.0
B,Qwen/Qwen2.5-Coder-0.5B-Instruct,beta,scaffolded,9,0.0,11.658376,,,,,cuda,11.707487,11.7452874,,1243.0,1.0,1.0,,0.0,,,,,,0.0,43.9169,512.0,0.0,,,fp16,0.048974,0.0,0.0,0.0,0.0,0.0,0,0.2991450484195441,0.0,,0.0
