model,condition,n,semantic_accuracy,wilson_lo,wilson_hi,parse_validity,language_compliance,op-selection,selector-resolution,arg-extraction,multi-op
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,21,0.0,0.0,0.154639018924847,0.6190476190476191,1.0,0.09523809523809523,0.19047619047619047,0.38095238095238093,0.09523809523809523
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,21,0.0,0.0,0.154639018924847,0.0,1.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,21,0.14285714285714285,0.04981012499725268,0.34636060280620945,0.7142857142857143,1.0,0.47619047619047616,0.38095238095238093,0.5238095238095238,0.38095238095238093
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,21,0.38095238095238093,0.20751011368564493,0.5912134622488425,0.8095238095238095,1.0,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.5714285714285714
Qwen/Qwen2.5-Coder-3B-Instruct,bare,21,0.19047619047619047,0.07667565052761793,0.40000564690204926,0.6190476190476191,1.0,0.3333333333333333,0.42857142857142855,0.47619047619047616,0.3333333333333333
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,21,0.42857142857142855,0.2446996892537596,0.6345344563069328,0.9523809523809523,1.0,0.6190476190476191,0.7142857142857143,0.8095238095238095,0.5714285714285714
Qwen/Qwen2.5-Coder-7B-Instruct,bare,21,0.0,0.0,0.154639018924847,0.09523809523809523,1.0,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,0.09523809523809523,1.0,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.047619047619047616
