model,condition,n,semantic_accuracy,wilson_lo,wilson_hi,parse_validity,language_compliance,op-selection,selector-resolution,arg-extraction,multi-op
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,21,0.14285714285714285,0.04981012499725268,0.34636060280620945,0.9523809523809523,1.0,0.6666666666666666,0.2857142857142857,0.7619047619047619,0.5238095238095238
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,0.9047619047619048,1.0,0.2857142857142857,0.09523809523809523,0.6666666666666666,0.23809523809523808
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,21,0.42857142857142855,0.2446996892537596,0.6345344563069328,0.8571428571428571,1.0,0.8095238095238095,0.47619047619047616,0.8571428571428571,0.8095238095238095
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,21,0.5714285714285714,0.3654655436930671,0.7553003107462404,1.0,1.0,0.8571428571428571,0.7619047619047619,0.9523809523809523,0.9523809523809523
Qwen/Qwen2.5-Coder-3B-Instruct,bare,21,0.5714285714285714,0.3654655436930671,0.7553003107462404,0.9523809523809523,1.0,0.9047619047619048,0.6190476190476191,0.9523809523809523,0.9047619047619048
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,21,0.8095238095238095,0.5999943530979508,0.9233243494723822,1.0,1.0,0.9523809523809523,0.8571428571428571,1.0,0.9523809523809523
Qwen/Qwen2.5-Coder-7B-Instruct,bare,21,0.7142857142857143,0.5004361928391441,0.8618613704787788,0.9047619047619048,1.0,0.9047619047619048,0.7619047619047619,0.9047619047619048,0.8571428571428571
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,21,0.9047619047619048,0.7108586092608176,0.9734812325619255,0.9523809523809523,1.0,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.9523809523809523
